Awheto	Media	Agar	Luminosity	Growth
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	Plain agar	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Leaves	PDA	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	2
A4	Litter	Plain agar	light	2
A4	Litter	Plain agar	light	3
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	Plain agar	light	0
A4	Litter	PDA	light	13.5
A4	Litter	PDA	light	13
A4	Litter	PDA	light	16
A4	Litter	PDA	light	17.5
A4	Litter	PDA	light	14.5
A4	Litter	PDA	light	14
A4	Litter	PDA	light	12.5
A4	Litter	PDA	light	13.5
A4	Litter	PDA	light	15
A4	Litter	PDA	light	15.5
A4	Litter	PDA	light	16
A4	Litter	PDA	light	14.5
A4	Litter	PDA	light	15.5
A4	Litter	PDA	light	13.5
A4	Litter	PDA	light	13
A4	Litter	PDA	light	13.5
A4	Litter	PDA	light	16
A4	Litter	PDA	light	14
A4	Litter	PDA	light	15
A4	Litter	PDA	light	13.5
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	Plain agar	light	0
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	17
A4	H2O	PDA	light	19
A4	H2O	PDA	light	15.5
A4	H2O	PDA	light	21.5
A4	H2O	PDA	light	20
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	17
A4	H2O	PDA	light	16.5
A4	H2O	PDA	light	16
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	16.5
A4	H2O	PDA	light	17.5
A4	H2O	PDA	light	18
A4	H2O	PDA	light	18.5
A4	H2O	PDA	light	16
A4	H2O	PDA	light	17
A4	H2O	PDA	light	18
A4	Soil + Litter	Plain agar	light	10
A4	Soil + Litter	Plain agar	light	6.5
A4	Soil + Litter	Plain agar	light	6.5
A4	Soil + Litter	Plain agar	light	9
A4	Soil + Litter	Plain agar	light	5.5
A4	Soil + Litter	Plain agar	light	6.5
A4	Soil + Litter	Plain agar	light	7
A4	Soil + Litter	Plain agar	light	5
A4	Soil + Litter	Plain agar	light	6.5
A4	Soil + Litter	Plain agar	light	10.5
A4	Soil + Litter	Plain agar	light	9
A4	Soil + Litter	Plain agar	light	11
A4	Soil + Litter	Plain agar	light	7.5
A4	Soil + Litter	Plain agar	light	6.5
A4	Soil + Litter	Plain agar	light	7.5
A4	Soil + Litter	Plain agar	light	10.5
A4	Soil + Litter	Plain agar	light	7
A4	Soil + Litter	Plain agar	light	8
A4	Soil + Litter	Plain agar	light	6
A4	Soil + Litter	Plain agar	light	4.5
A4	Soil + Litter	PDA	light	13.5
A4	Soil + Litter	PDA	light	16.5
A4	Soil + Litter	PDA	light	14.5
A4	Soil + Litter	PDA	light	14
A4	Soil + Litter	PDA	light	14.5
A4	Soil + Litter	PDA	light	14.5
A4	Soil + Litter	PDA	light	15
A4	Soil + Litter	PDA	light	15
A4	Soil + Litter	PDA	light	14
A4	Soil + Litter	PDA	light	17
A4	Soil + Litter	PDA	light	16
A4	Soil + Litter	PDA	light	15.5
A4	Soil + Litter	PDA	light	15.5
A4	Soil + Litter	PDA	light	16
A4	Soil + Litter	PDA	light	15
A4	Soil + Litter	PDA	light	15.5
A4	Soil + Litter	PDA	light	16
A4	Soil + Litter	PDA	light	15
A4	Soil + Litter	PDA	light	14
A4	Soil + Litter	PDA	light	13
A4	Seeds	Plain agar	light	9.5
A4	Seeds	Plain agar	light	8
A4	Seeds	Plain agar	light	9
A4	Seeds	Plain agar	light	9
A4	Seeds	Plain agar	light	8
A4	Seeds	Plain agar	light	8
A4	Seeds	Plain agar	light	9
A4	Seeds	Plain agar	light	8.5
A4	Seeds	Plain agar	light	11.5
A4	Seeds	Plain agar	light	11
A4	Seeds	Plain agar	light	10
A4	Seeds	Plain agar	light	9.5
A4	Seeds	Plain agar	light	6
A4	Seeds	Plain agar	light	9
A4	Seeds	Plain agar	light	8
A4	Seeds	Plain agar	light	8.5
A4	Seeds	Plain agar	light	7.5
A4	Seeds	Plain agar	light	8
A4	Seeds	Plain agar	light	8.5
A4	Seeds	Plain agar	light	9
A4	Seeds	PDA	light	15
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	19
A4	Seeds	PDA	light	15
A4	Seeds	PDA	light	14.5
A4	Seeds	PDA	light	16
A4	Seeds	PDA	light	15
A4	Seeds	PDA	light	16
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	16.5
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	15
A4	Seeds	PDA	light	14.5
A4	Seeds	PDA	light	16
A4	Seeds	PDA	light	15.5
A4	Seeds	PDA	light	15
A4	Seeds	PDA	light	18
A4	Berries	Plain agar	light	6
A4	Berries	Plain agar	light	6.5
A4	Berries	Plain agar	light	5.5
A4	Berries	Plain agar	light	6
A4	Berries	Plain agar	light	6
A4	Berries	Plain agar	light	7
A4	Berries	Plain agar	light	5
A4	Berries	Plain agar	light	2.5
A4	Berries	Plain agar	light	7
A4	Berries	Plain agar	light	6.5
A4	Berries	Plain agar	light	8
A4	Berries	Plain agar	light	7
A4	Berries	Plain agar	light	7.5
A4	Berries	Plain agar	light	9
A4	Berries	Plain agar	light	9.5
A4	Berries	Plain agar	light	8
A4	Berries	Plain agar	light	7
A4	Berries	Plain agar	light	8
A4	Berries	Plain agar	light	7.5
A4	Berries	Plain agar	light	10.5
A4	Berries	PDA	light	16.5
