Awheto	Luminosity	Treatment	agar	Growth
4	light	Leaves + 	 PDA	0
4	light	Leaves + 	 PDA	0
4	light	Leaves + 	 PDA	0
4	light	Leaves + 	 PDA	0
4	light	Leaves + 	 PDA	0
4	light	Soil + Litter + 	 PDA	15
4	light	Soil + Litter + 	 PDA	14.875
4	light	Soil + Litter + 	 PDA	15.75
4	light	Soil + Litter + 	 PDA	16.125
4	light	Soil + Litter + 	 PDA	15.125
4	light	Seeds + 	 PDA	16.5
4	light	Seeds + 	 PDA	15
4	light	Seeds + 	 PDA	16.125
4	light	Seeds + 	 PDA	16
4	light	Seeds + 	 PDA	16.25
4	light	Berries + 	 PDA	16.625
4	light	Berries + 	 PDA	16.625
4	light	Berries + 	 PDA	14.75
4	light	Berries + 	 PDA	16.5
4	light	Berries + 	 PDA	16.625
4	light	Seeds + Berries + 	 PDA	14.875
4	light	Seeds + Berries + 	 PDA	15.75
4	light	Seeds + Berries + 	 PDA	16.25
4	light	Seeds + Berries + 	 PDA	18.625
4	light	Seeds + Berries + 	 PDA	15
4	light	Roots + 	 PDA	16.5
4	light	Roots + 	 PDA	17.75
4	light	Roots + 	 PDA	18.375
4	light	Roots + 	 PDA	15.875
4	light	Roots + 	 PDA	16.5
4	light	Litter +	 PDA	15.625
4	light	Litter +	 PDA	14.125
4	light	Litter +	 PDA	16
4	light	Litter +	 PDA	14.25
4	light	Litter +	 PDA	15.25
4	light	Soil + 	 PDA	16.125
4	light	Soil + 	 PDA	16.25
4	light	Soil + 	 PDA	15.125
4	light	Soil + 	 PDA	16.75
4	light	Soil + 	 PDA	16.125
4	light	Roots + Soil +	 PDA	15.5
4	light	Roots + Soil +	 PDA	15.125
4	light	Roots + Soil +	 PDA	14.875
4	light	Roots + Soil +	 PDA	15.625
4	light	Roots + Soil +	 PDA	15.5
4	light	Roots + Soil + Litter +	 PDA	12.875
4	light	Roots + Soil + Litter +	 PDA	13.75
4	light	Roots + Soil + Litter +	 PDA	14.125
4	light	Roots + Soil + Litter +	 PDA	13.375
4	light	Roots + Soil + Litter +	 PDA	14
4	light	H2O + 	 PDA	17.375
4	light	H2O + 	 PDA	18.125
4	light	H2O + 	 PDA	17.5
4	light	H2O + 	 PDA	19.25
4	light	H2O + 	 PDA	16.875
4	light	H2O + 	 PDA	18.25
4	light	H2O + 	 PDA	18.875
4	light	H2O + 	 PDA	17.5
4	light	H2O + 	 PDA	18.125
4	light	H2O + 	 PDA	17.875
4	light	H2O (	plain_agar	#VALUE!
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	Leaves	plain_agar	0
4	light	Leaves	plain_agar	0
4	light	Leaves	plain_agar	0
4	light	Leaves	plain_agar	0
4	light	Leaves	plain_agar	0
4	light	Litter	plain_agar	0
4	light	Litter	plain_agar	0
4	light	Litter	plain_agar	0
4	light	Litter	plain_agar	1.75
4	light	Litter	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	H2O (	plain_agar	0
4	light	Seeds	plain_agar	9.5
4	light	Seeds	plain_agar	9.25
4	light	Seeds	plain_agar	10.375
4	light	Seeds	plain_agar	8.25
4	light	Seeds	plain_agar	8.875
4	light	Berries	plain_agar	7
4	light	Berries	plain_agar	5.5
4	light	Berries	plain_agar	8.125
4	light	Berries	plain_agar	9.375
4	light	Berries	plain_agar	9
4	light	Seeds + Berries	plain_agar	6.25
4	light	Seeds + Berries	plain_agar	7.5
4	light	Seeds + Berries	plain_agar	7.25
4	light	Seeds + Berries	plain_agar	7.25
4	light	Seeds + Berries	plain_agar	6.875
4	light	Roots	plain_agar	0
4	light	Roots	plain_agar	0
4	light	Roots	plain_agar	0
4	light	Roots	plain_agar	0
4	light	Roots	plain_agar	0
4	light	Soil	plain_agar	0
4	light	Soil	plain_agar	0
4	light	Soil	plain_agar	0
4	light	Soil	plain_agar	0
4	light	Soil	plain_agar	0
4	light	Roots + Soil	plain_agar	8.375
4	light	Roots + Soil	plain_agar	8.375
4	light	Roots + Soil	plain_agar	8.25
4	light	Roots + Soil	plain_agar	9.375
4	light	Roots + Soil	plain_agar	8.625
4	light	Soil + Litter	plain_agar	9.75
4	light	Soil + Litter	plain_agar	6.375
4	light	Soil + Litter	plain_agar	9.25
4	light	Soil + Litter	plain_agar	9.25
4	light	Soil + Litter	plain_agar	6.875
4	light	Soil + Litter + Roots	plain_agar	7.625
4	light	Soil + Litter + Roots	plain_agar	7.75
4	light	Soil + Litter + Roots	plain_agar	8.25
4	light	Soil + Litter + Roots	plain_agar	10.25
4	light	Soil + Litter + Roots	plain_agar	7.25
4	dark 	Leaves + 	 PDA	3.125
4	dark 	Leaves + 	 PDA	0
4	dark 	Leaves + 	 PDA	0
4	dark 	Leaves + 	 PDA	0
4	dark 	Leaves + 	 PDA	0
4	dark 	Soil + Litter + 	 PDA	16.125
4	dark 	Soil + Litter + 	 PDA	15.25
4	dark 	Soil + Litter + 	 PDA	15.25
4	dark 	Soil + Litter + 	 PDA	16.75
4	dark 	Soil + Litter + 	 PDA	16.125
4	dark 	Seeds + 	 PDA	16.625
4	dark 	Seeds + 	 PDA	17.625
4	dark 	Seeds + 	 PDA	15.75
4	dark 	Seeds + 	 PDA	15.875
4	dark 	Seeds + 	 PDA	15.5
4	dark 	Berries + 	 PDA	15.5
4	dark 	Berries + 	 PDA	15.75
4	dark 	Berries + 	 PDA	15.5
4	dark 	Berries + 	 PDA	15.25
4	dark 	Berries + 	 PDA	16.5
4	dark 	Seeds + Berries + 	 PDA	16
4	dark 	Seeds + Berries + 	 PDA	15.375
4	dark 	Seeds + Berries + 	 PDA	14.5
4	dark 	Seeds + Berries + 	 PDA	15.25
4	dark 	Seeds + Berries + 	 PDA	14.625
4	dark 	Roots + 	 PDA	#VALUE!
4	dark 	Roots + 	 PDA	#VALUE!
4	dark 	Roots + 	 PDA	17.875
4	dark 	Roots + 	 PDA	16.875
4	dark 	Roots + 	 PDA	17.375
4	dark 	Litter +	 PDA	16.25
